name-id,jul/2022,ago/2022,set/2022,out/2022,dez/2022,jan/2023,fev/2023
Anthomyiidae,0.1,2,2,3,5,3,1
Calliphoridae,0.1,3,1,3,0.1,1,0.1
Fanniidae,0.1,0.1,0.1,1,1,1,0.1
